date,year,month,day,week,year_week
2021-10-31,2021,10,31,43,202143
2021-11-01,2021,11,1,44,202144
2021-11-02,2021,11,2,44,202144
2021-11-03,2021,11,3,44,202144
2021-11-04,2021,11,4,44,202144
2021-11-05,2021,11,5,44,202144
2021-11-06,2021,11,6,44,202144
2021-11-07,2021,11,7,44,202144
2021-11-08,2021,11,8,45,202145
2021-11-09,2021,11,9,45,202145
2021-11-10,2021,11,10,45,202145
2021-11-11,2021,11,11,45,202145
2021-11-12,2021,11,12,45,202145
2021-11-13,2021,11,13,45,202145
2021-11-14,2021,11,14,45,202145
2021-11-15,2021,11,15,46,202146
2021-11-16,2021,11,16,46,202146
2021-11-17,2021,11,17,46,202146
2021-11-18,2021,11,18,46,202146
2021-11-19,2021,11,19,46,202146
2021-11-20,2021,11,20,46,202146
2021-11-21,2021,11,21,46,202146
2021-11-22,2021,11,22,47,202147
2021-11-23,2021,11,23,47,202147
2021-11-24,2021,11,24,47,202147
2021-11-25,2021,11,25,47,202147
2021-11-26,2021,11,26,47,202147
2021-11-27,2021,11,27,47,202147
2021-11-28,2021,11,28,47,202147
2021-11-29,2021,11,29,48,202148
2021-11-30,2021,11,30,48,202148
2021-12-01,2021,12,1,48,202148
2021-12-02,2021,12,2,48,202148
2021-12-03,2021,12,3,48,202148
2021-12-04,2021,12,4,48,202148
2021-12-05,2021,12,5,48,202148
2021-12-06,2021,12,6,49,202149
2021-12-07,2021,12,7,49,202149
2021-12-08,2021,12,8,49,202149
2021-12-09,2021,12,9,49,202149
2021-12-10,2021,12,10,49,202149
2021-12-11,2021,12,11,49,202149
2021-12-12,2021,12,12,49,202149
2021-12-13,2021,12,13,50,202150
2021-12-14,2021,12,14,50,202150
2021-12-15,2021,12,15,50,202150
2021-12-16,2021,12,16,50,202150
2021-12-17,2021,12,17,50,202150
2021-12-18,2021,12,18,50,202150
2021-12-19,2021,12,19,50,202150
2021-12-20,2021,12,20,51,202151
2021-12-21,2021,12,21,51,202151
2021-12-22,2021,12,22,51,202151
2021-12-23,2021,12,23,51,202151
2021-12-24,2021,12,24,51,202151
2021-12-25,2021,12,25,51,202151
2021-12-26,2021,12,26,51,202151
2021-12-27,2021,12,27,52,202152
2021-12-28,2021,12,28,52,202152
2021-12-29,2021,12,29,52,202152
2021-12-30,2021,12,30,52,202152
2021-12-31,2021,12,31,52,202152
2022-01-01,2022,1,1,52,202252
